step,aux_mel_loss,mel_loss,batch_size,lr,val_loss
304,0.04227,0.58629,2,0.0006,
305,0.04597,0.10887,2,0.0006,
306,0.05217,0.39835,2,0.0006,
307,0.04747,0.32844,2,0.0006,
308,0.04473,0.37582,2,0.0006,
309,0.04526,0.3378,2,0.0006,
310,0.0388,0.10905,2,0.0006,
311,0.05355,0.12432,2,0.0006,
312,0.04816,0.56397,2,0.0006,
313,0.05614,0.60252,2,0.0006,
314,0.04146,0.27651,2,0.0006,
315,0.04082,0.13057,2,0.0006,
316,0.04149,0.69473,2,0.0006,
317,0.04245,0.09349,2,0.0006,
318,0.03987,0.19303,2,0.0006,
319,0.04449,0.17235,2,0.0006,
320,0.04793,0.11829,2,0.0006,
321,0.04329,0.21844,2,0.0006,
322,0.04014,0.51971,2,0.0006,
323,0.04377,0.1219,2,0.0006,
324,0.04002,0.09689,2,0.0006,
325,0.04334,0.34539,2,0.0006,
326,0.04144,0.10473,2,0.0006,
327,0.04177,0.69251,2,0.0006,
328,0.03708,0.31533,2,0.0006,
329,0.03666,0.18989,2,0.0006,
330,0.04382,0.16558,2,0.0006,
331,0.04241,0.2324,2,0.0006,
332,0.04493,0.14943,2,0.0006,
333,0.04294,0.12171,2,0.0006,
334,0.04308,0.0959,1,0.0006,
335,0.04497,0.18459,1,0.0006,
336,0.04366,0.16023,1,0.0006,
337,0.04288,0.17823,1,0.0006,
338,0.0402,0.09698,1,0.0006,
339,0.03987,0.10383,1,0.0006,
340,0.04447,0.09012,1,0.0006,
341,0.04538,0.09174,1,0.0006,
342,0.03937,0.14632,1,0.0006,
343,0.04179,0.13783,1,0.0006,
344,0.04482,0.1004,1,0.0006,
345,0.04172,0.12427,1,0.0006,
346,0.03857,0.08666,1,0.0006,
347,0.04469,0.13536,1,0.0006,
348,0.04148,0.59434,1,0.0006,
349,0.04098,0.36327,1,0.0006,
350,0.0417,0.08941,1,0.0006,
351,0.0401,0.10612,1,0.0006,
352,0.03728,0.104,1,0.0006,
353,0.03852,0.17039,1,0.0006,
354,0.04096,0.09929,1,0.0006,
355,0.03772,0.0976,1,0.0006,
356,0.03985,0.14722,1,0.0006,
