chain,replica,cycle,plaquette,polyakov_re,polyakov_im,polyakov_abs,polyakov_sector,polyakov_aligned_re,wilson_t1
center_minus,2,36,0.5128188060404991,-0.17365661906817997,-0.23223580887430004,0.28998291720322317,2,0.2879504196876614,0.5240796612252151
center_minus,2,38,0.5426636210677075,-0.29020382455305477,-0.4960636325205676,0.5747150487804552,2,0.5747056199329273,0.5415267123307875
center_minus,2,40,0.5796614752467271,0.19298568943677272,-0.0031382112262940045,0.19301120355328424,0,0.19298568943677272,0.55474309504466
center_minus,2,42,0.5715968220393075,0.0708077727860793,-0.08210484088755843,0.10842022682182656,0,0.0708077727860793,0.593542293711156
center_minus,2,44,0.5383856405883679,0.09369875645727688,-0.1426964415025577,0.17070949410953382,0,0.09369875645727688,0.5350171914293739
center_minus,2,46,0.5398935741655212,-0.07865381461478008,0.04868988080402471,0.0925047406686075,1,0.08149358099091171,0.4809584382227823
center_minus,2,48,0.6174454439801867,-0.28200054278446574,0.36542657207759977,0.46158518792430775,1,0.45746896602929943,0.6183991070852266
center_minus,2,50,0.5410082476429046,-0.29937140197396356,0.4630994555955176,0.5514384300107503,1,0.5507415940114436,0.5750082607161253
center_minus,2,52,0.6129210314864427,-0.32502843035288287,0.5622696373172719,0.6494540981367007,1,0.6494540048698616,0.664583502260522
center_minus,2,54,0.5666656423250344,-0.17849292799568073,0.23169118870310912,0.2924731308464608,1,0.28989691924774696,0.5371021313972991
disordered,3,32,0.5172751315870895,-0.05605023180668652,0.0709014240408746,0.09038053118126273,1,0.08942755028723338,0.4786531467317386
disordered,3,34,0.579982421463426,-0.16249761940024848,0.30269946718458046,0.3435585011967786,1,0.34339423799398494,0.5419088208685753
disordered,3,36,0.6224378128451079,-0.16850091477797363,0.1248162179207865,0.2096941738271791,1,0.1923444729126824,0.6120638847777767
disordered,3,38,0.6011218508026953,-0.18559156799459542,0.1403241022082465,0.23266947322595405,1,0.2143200212728832,0.5395620613593944
disordered,3,40,0.5637188262342483,-0.12867178098170534,0.11971191628314166,0.17574803020570634,1,0.16800945112776933,0.575092942737585
disordered,3,42,0.5417913511647147,-0.13491169821857124,0.26663044283198345,0.2988192754174309,1,0.2983645860240778,0.5345596965182501
disordered,3,44,0.5702182533873824,-0.20546210653043315,0.18956698842258315,0.2795537878826378,1,0.2669008809580841,0.5634922498408692
disordered,3,46,0.5941409725957711,0.0011357029370258924,0.20065792768543605,0.20066114163976756,1,0.1732070113778155,0.6060977119558696
disordered,3,48,0.6210154633898493,-0.17113404784219896,0.34740832490504153,0.3872717476710416,1,0.3864314587750635,0.6336084300222481
disordered,3,50,0.5817176034934554,-0.24367613508601574,0.3901753659046529,0.46001616816073754,1,0.45973984634732595,0.5974642308640715
disordered,3,52,0.5732715987476676,-0.24743454653177388,0.3982262431110468,0.468836853841209,1,0.46859131625369127,0.5607488257174262
disordered,3,54,0.5849844516054655,-0.20516276852584445,0.44501990573716305,0.49003518046309974,1,0.48797992782106164,0.620024529468889
