step,time,drone_x,drone_y,drone_z,beam_x,beam_y,beam_z,human_danger,mission_progress,free_energy,tau_factor,position_error
65,0.1300,-0.0001,0.0000,1.5203,2.0000,0.0000,3.9987,0.0000,0.3911,1.388662,1.0000,3.0447
66,0.1320,-0.0001,0.0000,1.5209,2.0000,0.0000,3.9987,0.0000,0.3910,1.388662,1.0000,3.0448
67,0.1340,-0.0001,0.0000,1.5214,2.0000,0.0000,3.9987,0.0000,0.3910,1.388662,1.0000,3.0449
68,0.1360,-0.0001,0.0000,1.5220,2.0000,0.0000,3.9987,0.0000,0.3910,1.388662,1.0000,3.0450
69,0.1380,-0.0001,0.0000,1.5226,2.0000,0.0000,3.9986,0.0000,0.3910,1.388662,1.0000,3.0451
70,0.1400,-0.0001,0.0000,1.5232,2.0000,0.0000,3.9986,0.0000,0.3910,1.388662,1.0000,3.0452
71,0.1420,-0.0001,0.0001,1.5239,2.0000,0.0000,3.9986,0.0000,0.3909,1.388662,1.0000,3.0453
72,0.1440,-0.0001,0.0001,1.5245,2.0000,0.0000,3.9986,0.0000,0.3909,1.388662,1.0000,3.0454
73,0.1460,-0.0001,0.0001,1.5251,2.0000,0.0000,3.9986,0.0000,0.3909,1.388662,1.0000,3.0455
74,0.1480,-0.0001,0.0001,1.5257,2.0000,0.0000,3.9985,0.0000,0.3909,1.388662,1.0000,3.0456
75,0.1500,-0.0001,0.0001,1.5264,2.0000,0.0000,3.9985,0.0000,0.3909,1.388662,1.0000,3.0457
76,0.1520,-0.0001,0.0001,1.5270,2.0000,0.0000,3.9985,0.0000,0.3908,1.388662,1.0000,3.0458
77,0.1540,-0.0001,0.0001,1.5276,2.0000,0.0000,3.9985,0.0000,0.3908,1.388662,1.0000,3.0459
78,0.1560,-0.0002,0.0001,1.5283,2.0000,0.0000,3.9985,0.0000,0.3908,1.388662,1.0000,3.0460
79,0.1580,-0.0002,0.0001,1.5290,2.0000,0.0000,3.9985,0.0000,0.3908,1.388662,1.0000,3.0461
80,0.1600,-0.0002,0.0001,1.5296,2.0000,0.0000,3.9984,0.0000,0.3908,1.388662,1.0000,3.0462
81,0.1620,-0.0002,0.0001,1.5303,2.0000,0.0000,3.9984,0.0000,0.3907,1.341442,1.0000,3.0463
82,0.1640,-0.0002,0.0001,1.5310,2.0000,0.0000,3.9984,0.0000,0.3907,1.341442,1.0000,3.0464
83,0.1660,-0.0002,0.0001,1.5317,2.0000,0.0000,3.9984,0.0000,0.3907,1.341442,1.0000,3.0466
84,0.1680,-0.0002,0.0001,1.5323,2.0000,0.0000,3.9984,0.0000,0.3907,1.341442,1.0000,3.0467
85,0.1700,-0.0002,0.0001,1.5330,2.0000,0.0000,3.9983,0.0000,0.3906,1.341442,1.0000,3.0468
86,0.1720,-0.0002,0.0001,1.5337,2.0000,0.0000,3.9983,0.0000,0.3906,1.341442,1.0000,3.0469
87,0.1740,-0.0002,0.0001,1.5344,2.0000,0.0000,3.9983,0.0000,0.3906,1.341442,1.0000,3.0470
88,0.1760,-0.0002,0.0001,1.5351,2.0000,0.0000,3.9983,0.0000,0.3906,1.341442,1.0000,3.0471
89,0.1780,-0.0003,0.0001,1.5359,2.0000,0.0000,3.9983,0.0000,0.3906,1.341442,1.0000,3.0472
90,0.1800,-0.0003,0.0001,1.5366,2.0000,0.0000,3.9982,0.0000,0.3905,1.341442,1.0000,3.0473
91,0.1820,-0.0003,0.0001,1.5373,2.0000,0.0000,3.9982,0.0000,0.3905,1.341442,1.0000,3.0475
92,0.1840,-0.0003,0.0001,1.5380,2.0000,0.0000,3.9982,0.0000,0.3905,1.341442,1.0000,3.0476
93,0.1860,-0.0003,0.0001,1.5388,2.0000,0.0000,3.9982,0.0000,0.3905,1.341442,1.0000,3.0477
94,0.1880,-0.0003,0.0001,1.5395,2.0000,0.0000,3.9982,0.0000,0.3904,1.341442,1.0000,3.0478
95,0.1900,-0.0003,0.0002,1.5402,2.0000,0.0000,3.9981,0.0000,0.3904,1.341442,1.0000,3.0479
96,0.1920,-0.0003,0.0002,1.5410,2.0000,0.0000,3.9981,0.0000,0.3904,1.341442,1.0000,3.0481
97,0.1940,-0.0003,0.0002,1.5417,2.0000,0.0000,3.9981,0.0000,0.3904,1.341442,1.0000,3.0482
98,0.1960,-0.0004,0.0002,1.5425,2.0000,0.0000,3.9981,0.0000,0.3903,1.341442,1.0000,3.0483
99,0.1980,-0.0004,0.0002,1.5433,2.0000,0.0000,3.9981,0.0000,0.3903,1.341442,1.0000,3.0484
100,0.2000,-0.0004,0.0002,1.5440,2.0000,0.0000,3.9980,0.0000,0.3903,1.341442,1.0000,3.0485
101,0.2020,-0.0004,0.0002,1.5448,2.0000,0.0000,3.9980,0.0000,0.3903,1.313684,1.0000,3.0487
102,0.2040,-0.0004,0.0002,1.5456,2.0000,0.0000,3.9980,0.0000,0.3902,1.313684,1.0000,3.0488
103,0.2060,-0.0004,0.0002,1.5463,2.0000,0.0000,3.9980,0.0000,0.3902,1.313684,1.0000,3.0489
